Term Code,Class,Title,Crn,Instructor,Cap,Enrl,Days,Times,Location,Type
202030,ACT 121-003,Beginning Snowboarding,33881,"Hickey, Bonnie",25,9,R,1410-1600, ,B
202030,ACT 121-004,Beginning Snowboarding,33882,"Hickey, Bonnie",25,14,F,1410-1600, ,B
202030,ACT 122-001,Skiing; Telemarking,32713,"Hickey, Bonnie",50,3,R,1410-1600, ,B
202030,ACT 123-001, Bouldering,35309,"Sandberg, Daniel",18,18,F,1300-1600, ,B
202030,ACT 129-001,Circuit Training,32853,"Cox, Nina",22,21,TR,1310-1400,MHFC STUDIO 2,B
202030,ACT 129-002,Circuit Training,32919,"Schulte, Jacob",32,31,TR,0800-0850,MHFC STUDIO 1,B
202030,ACT 129-003,Circuit Training,33542,"Kujawa, Jamie",32,32,MW,1000-1050,MHFC STUDIO 1,B
202030,ACT 140-001,Beginning Basketball,32769,"Sorensen, Spencer",30,24,TR,0925-1015,CTGS1 ,B
202030,ACT 150-001,Beginning Yoga,32606,"Jazdzewski, Kelley",24,24,TR,0700-0750,MHFC STUDIO 3,B
202030,ACT 150-002,Beginning Yoga,32615,"Kujawa, Jamie",24,24,TR,1410-1500,MHFC STUDIO 2,B
202030,ACT 150-003,Beginning Yoga,32788,"Hilleren, Kristen",32,32,TR,0900-0950,MHFC STUDIO 1,B
202030,ACT 150-006,Beginning Yoga,32920,"Hilleren, Kristen",32,32,TR,1000-1050,MHFC STUDIO 1,B
202030,ACT 150-005,Beginning Yoga,32973,"Kujawa, Jamie",24,24,MW,0800-0850,MHFC STUDIO 3,B
202030,ACT 150-007,Beginning Yoga,33364,"Ruby, Nancy",24,22,TR,1510-1600,MHFC STUDIO 3,B
202030,ACT 150-008,Beginning Yoga,35179,"Kujawa, Jamie",24,24,MW,0900-0950,MHFC STUDIO 3,B
202030,ACT 151-001,Beginning Billiards,30086,"Sickler, Laurie",17,13,MW,0800-0850,SUB REC,B
202030,ACT 151-002,Beginning Billiards,30087,"Sickler, Laurie",17,17,MW,0900-0950,SUB REC,B
202030,ACT 151-003,Beginning Billiards,30088,"Sickler, Laurie",17,17,MW,1000-1050,SUB REC,B
202030,ACT 151-004,Beginning Billiards,30089,"Sickler, Laurie",17,17,MW,1100-1150,SUB REC,B
202030,ACT 151-005,Beginning Billiards,30090,"Sickler, Laurie",17,16,MW,1310-1400,SUB REC,B
202030,ACT 151-006,Beginning Billiards,30091,"Sickler, Laurie",17,16,MW,1410-1500,SUB REC,B
202030,ACT 151-007,Beginning Billiards,30092,"Sickler, Laurie",17,10,TR,0800-0850,SUB REC,B
202030,ACT 151-008,Beginning Billiards,30093,"Sickler, Laurie",15,13,TR,0925-1015,SUB REC,B
202030,ACT 151-009,Beginning Billiards,30094,"Sickler, Laurie",15,6,TR,0925-1015,SUB REC,B
202030,ACT 151-010,Beginning Billiards,30613,"Sickler, Laurie",17,17,TR,1100-1150,SUB REC,B
202030,ACT 151-011,Beginning Billiards,31638,"Sickler, Laurie",17,17,TR,1340-1430,SUB REC,B
202030,ACT 151-012,Beginning Billiards,31639,"Sickler, Laurie",17,17,TR,1505-1555,SUB REC,B
202030,ACT 156-001,Beginning Aikido,32854,"Summerfield, Leif",22,15,TR,1610-1700,MHFC STUDIO 3,B
202030,ACT 156-002,Beginning Aikido,32915,"Szilagyi, Robert",0,5,TR,0900-0950,MHFC STUDIO 3,B
202030,ACT 158-001,Beginning Taekwondo,32855,"Hunt, Clay",37,35,MW,1510-1600,MHFC STUDIO 1,B
202030,ACT 160-001,Avalanche 1 Training,35310,"Sandberg, Daniel",18,18,TR,1830-2030,OUTREC ,B
202030,ACT 160-002,Avalanche 1 Training,35311,"Sandberg, Daniel",18,18,TR,1830-2030, ,B
202030,ACT 163-001,Race Training 5/10 K,32724,"Atwater, Ty",25,19,MW,0900-1015, ,B
202030,ACT 165-001,Power Cycling: Indoors,32607,"Dicomitis, Krista",30,29,MW,1310-1400,MHFC STUDIO 2,B
202030,ACT 165-003,Power Cycling: Indoors,32617,"Hinshaw, Whitney",30,30,MW,1510-1600,MHFC STUDIO 2,B
202030,ACT 165-004,Power Cycling: Indoors,32824,"Kujawa, Jamie",30,28,TR,1510-1600,MHFC STUDIO 2,B
202030,ACT 180-001,Beginning Volleyball,32609,"Gregorak, Kandice",36,36,MW,1000-1050,CTGS1 ,B
202030,ACT 201-001,Power Cycling 2: Advanced,35228,"Larson, Jocelyn",30,12,MW,1000-1050,MHFC STUDIO 2,B
202030,ACT 209-001,Intermediate Volleyball,32729,"Gregorak, Kandice",32,29,MW,1100-1150,CTGS1 ,B
202030,ACT 210-001,Intermediate Weight Training,33061,"Sauer, John",22,16,MW,0800-0850,MHFC LOBBY,B
202030,ACT 220-001,Intermediate Alpine Skiing,33850,"Hickey, Bonnie",50,14,T,1400-1610, ,B
202030,ACT 220-002,Intermediate Alpine Skiing,33883,"Hickey, Bonnie",50,20,W,1410-1600, ,B
202030,ACT 220-003,Intermediate Alpine Skiing,33884,"Hickey, Bonnie",50,18,R,1410-1600, ,B
202030,ACT 220-004,Intermediate Alpine Skiing,33885,"Hickey, Bonnie",50,30,F,1410-1600, ,B
202030,ACT 221-001,Intermediate Snowboarding,33851,"Hickey, Bonnie",25,7,T,1410-1600, ,B
202030,ACT 221-002,Intermediate Snowboarding,33886,"Hickey, Bonnie",25,2,MWF,0800-0850, ,B
202030,ACT 221-003,Intermediate Snowboarding,33887,"Hickey, Bonnie",25,5,R,1410-1600, ,B
202030,ACT 221-004,Intermediate Snowboarding,33888,"Hickey, Bonnie",25,13,F,1410-1600, ,B
202030,ACT 224-001,"Skiing, Cross Country",34613,"Sandberg, Daniel",12,11,F,1400-1730, ,B
202030,ACT 230-001,Intermediate Yoga,32652,"Martens, Ashley",24,23,MW,1000-1050,MHFC STUDIO 3,B
202030,ACT 230-002,Intermediate Yoga,32790,"Martens, Ashley",24,24,MW,1100-1150,MHFC STUDIO 3,B
202030,ACT 230-003,Intermediate Yoga,33262,"Ruby, Nancy",24,24,TR,1410-1500,MHFC STUDIO 3,B
202030,ACT 240-001,Intermediate Basketball,32927,"Sorensen, Spencer",30,14,TR,1025-1115,CTGS1 ,B
202030,ACT 250-001,Pilates,32928,"Hutcheson, Teasha",27,27,TR,1405-1455,MHFC STUDIO 1,B
202030,ACT 250-002,Pilates,33263,"Hutcheson, Teasha",27,27,TR,1505-1555,MHFC STUDIO 1,B
202030,ACT 250-003,Pilates,35180,"Hutcheson, Teasha",27,27,TR,1305-1355,MHFC STUDIO 1,B
202030,ACT 272-001,Advanced Yoga,33264,"Larson, Jocelyn",32,32,MW,0900-0950,MHFC STUDIO 1,B
202030,ACT 276-001,Wilderness First Responder,35312,"Atwater, Ty",24,23,MTWRF,0800-1700,TRAPHA 100,B
202030,ACT 288-001,Advanced Skiing,33852,"Hickey, Bonnie",25,17,T,1410-1600, ,B
202030,ACT 288-002,Advanced Skiing,33889,"Hickey, Bonnie",25,25,W,1410-1600, ,B
202030,ACT 288-003,Advanced Skiing,33890,"Hickey, Bonnie",25,14,R,1410-1600, ,B
202030,ACT 288-004,Advanced Skiing,33891,"Hickey, Bonnie",25,24,F,1410-1600, ,B
202030,ACT 289-001,Advanced Snowboarding,33853,"Hickey, Bonnie",25,6,T,1410-1600, ,B
202030,ACT 289-002,Advanced Snowboarding,33892,"Hickey, Bonnie",25,6,W,1410-1600, ,B
202030,ACT 289-003,Advanced Snowboarding,33893,"Hickey, Bonnie",25,7,R,1410-1600, ,B
202030,ACT 289-004,Advanced Snowboarding,33894,"Hickey, Bonnie",25,8,F,1410-1600, ,B
202030,ACT 291-001,Special Topics,35332,"Atwater, Ty",12,12,MW,1830-2030, ,A
202030,ACTG 102-001,Accounting Procedures II,32345,"Brown, Lisa",20,8,R,1440-1620,GCE 3,L
202030,ACTG 122-001,Accounting & Business Decision,32321,"Scheid, Randolph",15,6,MW,1630-1745,GCE 3,L
202030,ACTG 125-001,QuickBooks,32344,"Strong, Heather",20,19,,-,ONLINE WEB,L
202030,ACTG 201-001,Principles of Financial Acct,31338,"Giullian, Marc",125,98,MWF,0800-0850,NAH 201,L
202030,ACTG 201-002,Principles of Financial Acct,31339,"Rusli, Pinky",125,124,MWF,1100-1150,NAH 201,L
202030,ACTG 201-801,Principles of Financial Acct,32632,"Rusli, Pinky",25,25,,-,ONLINE WEB,L
202030,ACTG 202-005,Principles of Managerial Acct,30724,"Ji, Yuan",38,38,TR,1050-1205,JABS 315,L
202030,ACTG 202-001,Principles of Managerial Acct,30725,"Dudas, John",48,48,MWF,1000-1050,JABS 111,L
202030,ACTG 202-002,Principles of Managerial Acct,32146,"Dudas, John",48,45,MWF,1200-1250,JABS 111,L
202030,ACTG 202-003,Principles of Managerial Acct,32412,"Dudas, John",48,48,MWF,1310-1400,JABS 111,L
202030,ACTG 202-004,Principles of Managerial Acct,32777,"Dudas, John",48,39,MWF,1410-1500,JABS 111,L
202030,ACTG 202-801,Principles of Managerial Acct,32778,"Dudas, John",25,25,,-,ONLINE WEB,L
202030,ACTG 205-001,Computerized Accounting,32343,"Brown, Lisa",15,7,R,1630-1745,GCE 3,L
202030,ACTG 223-001,Principles of Accounting II,30199,"Ault, Steven",38,19,MWF,0800-0850,JABS 315,L
202030,ACTG 223-002,Principles of Accounting II,30200,"Ault, Steven",38,38,MWF,0900-0950,JABS 315,L
202030,ACTG 223-003,Principles of Accounting II,32889,"Ault, Steven",38,38,MWF,1100-1150,JABS 315,L
202030,ACTG 321R-001,Acct Information Systems I,31442,"Walker, Stephanie",30,33,TR,0925-1040,JABS 215,L
202030,ACTG 327-001,Inter Fin Acct & Reporting I,34408,"Ault, Steven",33,33,MWF,1310-1400,JABS 311,L
202030,ACTG 327-002,Inter Fin Acct & Reporting I,34409,"Ault, Steven",33,33,MWF,1410-1500,JABS 311,L
202030,ACTG 328-001,Inter Fin Acct & Reporting II,30202,"Giullian, Marc",35,31,MW,1340-1455,JABS 415,L
202030,ACTG 328-002,Inter Fin Acct & Reporting II,31810,"Giullian, Marc",35,12,MW,1510-1625,JABS 415,L
202030,ACTG 411-001,Auditing I,32740,"Scarr, Morgan",35,37,MW,1505-1620,JABS 311,L
202030,ACTG 415-002,Govt & Nonprofit Acct I,31788,"Ji, Yuan",30,18,TR,1340-1455,JABS 311,L
202030,ACTG 415-001,Govt & Nonprofit Acct I,33976,"Ji, Yuan",30,20,TR,1215-1330,JABS 311,L
202030,ACTG 431-001,Tax Assistance,34520,"Gamble, Edward",20,14,MW,1630-1745,JABS 211,L
202030,ACTG 431-002,Tax Assistance,34521,"Gamble, Edward",25,3,MW,1630-1745,JABS 207,L
202030,ACTG 441-001,Financial Statement Analysis,32925,"Harvey, Tim",15,15,TR,1505-1620,JABS 311,L
202030,ACTG 441-002,Financial Statement Analysis,33902,"Harvey, Tim",15,15,TR,1630-1745,JABS 311,L
202030,ACTG 521-001,Advanced Auditing,30205,"Mills, Kristena",30,18,MW,1215-1330,JABS 407,L
202030,ACTG 526-001,Advanced Taxation,30206,"Christensen, Anne",15,4,MW,0925-1040,JABS 407,L
202030,ACTG 526-002,Advanced Taxation,33508,"Christensen, Anne",13,13,MW,1050-1205,JABS 407,L
202030,ACTG 531-001,Tax Practicum,31552,"Gamble, Edward",20,13,MW,1630-1745,JABS 211,L
202030,ACTV 189-001,Varsity Athletics,30063,"Sprinkle, William",100,0,MW,-,BBFH 120,B
202030,ACTV 189-002,Varsity Athletics,30064,"Bader-Binford, Tricia",100,0,MW,-,BBFH 120,B
202030,ACTV 189-003,Varsity Athletics,30065,"Heidinger, Stacy",100,1,MTWRF,-,BBFH 120,B
202030,ACTV 189-004,Varsity Athletics,30066,"Choate, Jeffrey",100,2,MW,-,BBFH 120,B
202030,ACTV 189-005,Varsity Athletics,30067,"Weese, Lyle",100,0,MW,-,BBFH 120,B
202030,ACTV 189-006,Varsity Athletics,30068,"Weese, Lyle",100,0,M,-,BBFH 120,B
202030,ACTV 189-007,Varsity Athletics,30069,"Jones, Daniel",100,0,MW,-,BBFH 120,B
202030,ACTV 189-008,Varsity Athletics,30070,"Bolich, Andrew",100,0,MW,-,BBFH 120,B
202030,ACTV 189-009,Varsity Athletics,30071,"Burnham, Jared",100,0,MW,-,BBFH 120,B
202030,ACTV 189-010,Varsity Athletics,30072,"Heidinger, Stacy",100,0,MW,-,BBFH 120,B
202030,ACTV 189-011,Varsity Athletics,30073,"Weese, Lyle",100,1,MW,-,BBFH 120,B
202030,ACTV 189-012,Varsity Athletics,30074,"Basye, Brittany",100,0,MW,-,BBFH 120,B
202030,ACTV 189-013,Varsity Athletics,30075,"Francis, Kevin",100,0,MW,-,BBFH 120,B
202030,ACTV 189-014,Varsity Athletics,30076,"Weese, Lyle",100,1,MW,-,BBFH 120,B
202030,ACTV 305-001,Ldrshp Student Athlete,32600,"Paterson, Aaron",30,0,F,1200-1400,JABS 407,L
202030,AGBE 210IS-001,Economics of Ag Business,31408,"Carriere, Danielle",72,43,TR,1215-1330,LIN 301,L
202030,AGBE 315-001,Ag in a Global Context,34103,"Belasco, Eric",0,0,TR,1500-1630,LIN 109A,L
202030,AGBE 337-001,Agricultural Law,30011,"Schaplow, Terry",54,39,TR,1340-1455,LIN 113,L
202030,AGBE 341-001,Farm and Ranch Management,30012,"Atwood, Joseph",47,21,TR,0925-1040,AJMJH 237,L
202030,AGBE 445-001,Agribusiness Management,33473,"Charlton, Diane",40,32,MWF,1410-1500,LIN 231,L
202030,AGED 105-801,Microcomputers in Agriculture,30023,"Perry, Dustin",40,40,,-,ONLINE WEB,L
202030,AGED 105-002,Microcomputers in Agriculture,30024,"Perry, Dustin",20,20,MW,1310-1500,LIN 232,B
202030,AGED 105-003,Microcomputers in Agriculture,30025,"Perry, Dustin",20,20,MW,1510-1700,LIN 232,B
202030,AGED 140US-001,Leadership Dev For Agriculture,30816,"Igo, Carl",40,39,MW,0900-0950,LIN 231,L
202030,AGED 140US-002,Leadership Dev For Agriculture,30817,"Igo, Carl",20,20,T,1310-1500,LIN 231,B
202030,AGED 140US-003,Leadership Dev For Agriculture,30818,"Igo, Carl",20,19,T,1510-1700,LIN 231,B
202030,AGED 253-001,Ag Ed in Pub Schools,30026,"Perry, Dustin",20,14,TR,0925-1040,LIN 231,L
202030,AGED 292-001,Independent Study,31752,"Igo, Carl",20,4,,-, ,I
202030,AGED 315-001,Elect & Power Sys Operation,33498,"Williams, Kayce",24,22,MW,1100-1150,LIN 231,L
202030,AGED 315-002,Elect & Power Sys Operation,35413,"Williams, Kayce",12,16,R,1310-1500, ,B
202030,AGED 315-003,Elect & Power Sys Operation,35414,"Williams, Kayce",12,6,R,1510-1700, ,B
202030,AGED 363-001,Agr. Youth Event Plan & Mgt.,33994,"Arnold, Shannon",40,26,R,1215-1305,LIN 231,L
202030,AGED 401-001,Agric Issues & Rsch,32585,"Arnold, Shannon",15,11,T,1505-1620,LIN 233,L
202030,AGED 401-001,Agric Issues & Rsch,32585,"Arnold, Shannon",15,11,R,1505-1620,LIN 231,L
202030,AGED 490R-001,Undergraduate Research,31014,"Arnold, Shannon",20,0,,-, ,I
202030,AGED 491-001,Special Topics,35365,"Arnold, Shannon",20,18,,-, ,M
202030,AGED 492-001,Independent Study,30027,"Arnold, Shannon",19,0,,-, ,I
202030,AGED 492-002,Independent Study,33317,"Igo, Carl",19,0,,-, ,I
202030,AGED 492-003,Independent Study,33318,"Perry, Dustin",19,1,,-, ,I
202030,AGED 498-001,Internship,30028,"Arnold, Shannon",20,0,,-, ,I
202030,AGED 507-801,Prog Plan & Evaluation,31627,"Arnold, Shannon",15,4,,-,ONLINE WEB,L
202030,AGED 592-001,Independent Study,32163,"Arnold, Shannon",20,0,,-, ,I
202030,AGSC 341-001,Field Crop Production,32768,"Burgess, Macdonald",84,36,MWF,1100-1150,REID 202,L
202030,AGSC 428-001,Cropping Systems & Sustain Ag,32481,"Miller, Perry",34,18,TR,1050-1220,PGC 211,L
202030,AGSC 465R-001,"Health, Agriculture, Poverty",31825,"Dunkel, Florence",15,14,R,1610-1900,PBB 108,R
202030,AGSC 465R-001,"Health, Agriculture, Poverty",31825,"Dunkel, Florence",15,14,,-, ,R
202030,AGSC 481-001,Ag Ambassador Seminar,32726,"Murdock, Jessica",25,17,M,1610-1700,LIN 233,M
202030,AHHS 450-001,Interprof Collaboration Pract,34767,"Mayer, Dorothy",35,0,,-,ONLINE WEB,M
202030,AHMA 203-001,MA Clinical Procedures II,32246,"Calkins, Erin",16,17,MW,1605-1745,GCE 4,L
202030,AHMA 280-801,Med Assisting Exam Prep,32328,"Dalke, Desiree",11,13,,-,ONLINE WEB,M
202030,AHMA 298-001,Med Assisting Externship,33185,"Dalke, Desiree",7,15,,-, ,I
202030,AHMS 100-001,Math Applications Health,32319,"McBride-Bergantine, Stephanie",20,15,TR,1630-1745,GCE 7,L
202030,AHMS 144-802,Medical Terminology,33189,"Schloss, Carol",50,51,,-,ONLINE WEB,L
202030,AHMS 156-001,Medical Billing Fundamentals,32820,"Dalke, Desiree",15,6,T,1630-1745,GCE 4,L
202030,AHMS 158-801,Leg & Reg Aspects of Hlthcare,32301,"Schloss, Carol",30,28,,-,ONLINE WEB,L
202030,AHMS 220-001,Medical Office Procedures,32245,"Francis, Codi",24,25,W,1755-1910,GCE 4,L
202030,AHMS 250-001,Advanced Medical Coding,33366,"Dalke, Desiree",15,6,R,1630-1810,GCE 4,L
202030,AHMS 298-801,Prof Pract Experience-coding,32837,"Dalke, Desiree",20,6,,-,ONLINE WEB,L
202030,AMGT 127-001,Business Office Procedures,34689,"McCutchon, Frances",20,13,T,1630-1745,GCE 3,L
202030,AMST 101D-001,Intro to American Studies,31870,"Hill, Jennifer",160,125,MW,1410-1500,LIN 125,L
202030,AMST 101D-098,Intro to American Studies,32622,"Hostetler, Jeffrey",20,9,MW,1340-1455,GCE 2,L
202030,AMST 201IH-001,American Identity/Dreams,34080,"Hill, Jennifer",90,90,MW,1000-1050,CHEEVE 215,L
202030,AMST 202RA-898,The Arts in America,32807,"Hostetler, Jeffrey",20,22,,-,ONLINE WEB,L
202030,AMST 491-002,Special Topics,34397,"Hill, Jennifer",30,21,M,1510-1800,NAH 337,L
202030,AMST 502-001,Research in American Studies,34494,"Rydell, Robert",20,6,T,1510-1800,AJMJH 251,M
202030,ANSC 100-001,Introduction to Animal Science,30185,"Delcurto, Hannah",192,132,MWF,0800-0850,REID 108,L
202030,ANSC 215-001,Calving Management,30753,"Delcurto, Hannah",15,16,,-, ,L
202030,ANSC 215-001,Calving Management,30753,"Delcurto, Hannah",15,16,TR,1505-1620,ABB 245,L
202030,ANSC 222-001,Livestock in Sustain Systems,32441,"DelCurto, Timothy",150,116,MWF,0900-0950,LIN 125,L
202030,ANSC 232-001,Lvstk Mgmt-Sheep I,30187,"Delcurto, Hannah",15,19,MW,1310-1500,ABB 134,B
202030,ANSC 232-002,Lvstk Mgmt-Sheep I,33173,"Delcurto, Hannah",15,19,MW,1510-1700,ABB 134,B
202030,ANSC 234-001,Lvstk Mgmt-Beef I,30188,"Delcurto, Hannah",15,19,MW,1310-1500,ABB 134,B
202030,ANSC 234-002,Lvstk Mgmt-Beef I,30189,"Delcurto, Hannah",15,20,MW,1510-1700,ABB 134,B
202030,ANSC 265-001,Anat Physiol Domestic Animals,32438,"Mattix, Rebecca",100,107,TR,1050-1205,REID 401,L
202030,ANSC 266-001,Anat Physiol Dom Animal Lab,32439,"Goldhahn, Alan",20,24,W,1310-1500,LIN 122C,B
202030,ANSC 266-002,Anat Physiol Dom Animal Lab,32440,"Goldhahn, Alan",20,24,W,1510-1700,LIN 122C,B
202030,ANSC 266-003,Anat Physiol Dom Animal Lab,32502,"Goldhahn, Alan",20,24,R,1500-1700,LIN 122C,B
202030,ANSC 266-004,Anat Physiol Dom Animal Lab,32850,"Goldhahn, Alan",20,25,R,1700-1900,LIN 122C,B
202030,ANSC 316-001,Meat Science,30619,"Boles, Jane",28,35,MWF,1000-1050,ABB 136,L
202030,ANSC 316-001,Meat Science,30619,"Boles, Jane",28,35,W,1310-1500,LIN 120,L
202030,ANSC 322-001,Princ of Animal Breed/Genetics,30190,"Thomson, Jennifer",62,54,MWF,0800-0850,CHEEVE 212,L
202030,ANSC 337-001,Disease of Domestic Lvstk,30807,"Parrott, Tamara",62,36,TR,0925-1040,ABB 136,L
202030,ANSC 408-001,Advanced Livestock Evaluation,31531,"Delcurto, Hannah",10,0,,-, ,L
202030,ANSC 410-001,Veterinary Entomology,34981,"Goosey, Hayes",40,39,TR,1050-1205,ABB 136,L
202030,ANSC 432R-001,Sheep Management,32712,"Goosey, Hayes",20,14,TR,0800-0850,ABB 136,L
202030,ANSC 432R-001,Sheep Management,32712,"Goosey, Hayes",20,14,R,1310-1500,ABB 136,L
202030,ANSC 432R-001,Sheep Management,32712,"Goosey, Hayes",20,14,R,1310-1500,ABB 234,L
202030,ANSC 437-001,Prof Develop in Beef Feedlot,33781,"Delcurto, Hannah",15,19,,-, ,L
202030,ANSC 437-001,Prof Develop in Beef Feedlot,33781,"Delcurto, Hannah",15,19,R,1610-1700,ABB 238,L
202030,ANSC 498-001,Internship,30194,"Delcurto, Hannah",20,4,,-, ,I
202030,ANTY 101D-001,Anthro and Human Experience,30819,"Fisher, John",150,150,MWF,1000-1050,LIN 125,L
202030,ANTY 101D-002,Anthro and Human Experience,31532,"Mahoney, Nancy",175,118,MWF,1510-1600,REID 105,L
202030,ANTY 215IS-001,Human Prehistory,32995,"Lee, Craig",35,35,MW,1945-2100,WILSON 1131,L
202030,ANTY 225IS-001,"Culture, Language, and Society",33555,"Bocast, Brooke",45,45,TR,1050-1205,AJMJH 237,L
202030,ANTY 242D-001,Contemporary Japan,35000,"Yamaguchi, Tomomi",35,33,MWF,1100-1150,ROBERT 208,L
202030,ANTY 252IS-001,Mysteries of the Past,33344,"Mahoney, Nancy",60,60,MWF,1000-1050,REID 101,L
202030,ANTY 356-001,Archaeology of Southwest Asia,35001,"Neeley, Michael",35,20,TR,0925-1040,ROBERT 307,L
202030,ANTY 357-001,Foragers of Sub-Saharan Africa,35002,"Fisher, John",35,23,MWF,1200-1250,WILSON 1121,L
202030,ANTY 375-801,Anth of Humans & the Environ,34848,"Mahoney, Nancy",24,24,,-,ONLINE WEB,L
202030,ANTY 375-802,Anth of Humans & the Environ,35300,"Mahoney, Nancy",6,4,,-,ONLINE WEB,L
202030,ANTY 428RS-001,Anthropological Theory,35003,"Yamaguchi, Tomomi",35,20,MWF,1310-1400,WILSON 1122,L
202030,ANTY 494-001,Seminar,35004,"Bocast, Brooke",30,10,TR,1340-1455,WILSON 1116,M
202030,ARAB 102D-001,Elementary Modern Arabic II,33800,"Alkholy, Bassam",24,14,MWF,1000-1050,GAINES 144,L
202030,ARAB 102D-002,Elementary Modern Arabic II,33801,"Alkholy, Bassam",24,9,MWF,0900-0950,GAINES 344,L
202030,ARAB 202D-001,Intermediate Modern Arabic II,34256,"Alkholy, Bassam",24,7,MWF,1200-1250,GAINES 344,L
202030,ARCH 121IA-001,Introduction to Design,30822,"Terrio, Kyle",80,75,MF,1200-1250,LIN 125,L
202030,ARCH 121IA-003,Introduction to Design,30823,"Terrio, Kyle",20,19,W,1510-1600,CHEEVE 131,R
202030,ARCH 121IA-004,Introduction to Design,30824,"Terrio, Kyle",20,17,W,1610-1700,CHEEVE 131,R
202030,ARCH 121IA-006,Introduction to Design,30826,"Terrio, Kyle",20,20,W,1000-1050,LIN 233,R
202030,ARCH 121IA-007,Introduction to Design,30827,"Terrio, Kyle",20,19,W,1100-1150,LIN 233,R
202030,ARCH 152IA-001,Design Fundamentals II,33438,"Watson, Bradford",36,33,F,1200-1250,CHEEVE 215,D
202030,ARCH 152IA-001,Design Fundamentals II,33438,"Watson, Bradford",36,33,MWF,1310-1500,CHEEVE 157,D
202030,ARCH 152IA-002,Design Fundamentals II,33439,"Mohland, Sarah",36,36,F,1200-1250,CHEEVE 215,D
202030,ARCH 152IA-002,Design Fundamentals II,33439,"Mohland, Sarah",36,36,MWF,1310-1500,CHEEVE 157,D
202030,ARCH 152IA-003,Design Fundamentals II,33440,"Brush, Brian",36,36,F,1200-1250,CHEEVE 215,D
202030,ARCH 152IA-003,Design Fundamentals II,33440,"Brush, Brian",36,36,MWF,1310-1500,CHEEVE 157,D
